pokedex_number,name,type1,type2,hp,attack,defense,speed
671,Florges,fairy,,78,65,68,75
672,Skiddo,grass,,66,65,48,52
673,Gogoat,grass,,123,100,62,68
674,Pancham,fighting,,67,82,62,43
675,Pangoro,fighting,dark,95,124,78,58
676,Furfrou,normal,,75,80,60,102
677,Espurr,psychic,,62,48,54,68
678,Meowstic,psychic,,74,48,76,104
679,Honedge,steel,ghost,45,80,100,28
680,Doublade,steel,ghost,59,110,150,35
681,Aegislash,steel,ghost,60,150,50,60
682,Spritzee,fairy,,78,52,60,23
683,Aromatisse,fairy,,101,72,72,29
684,Swirlix,fairy,,62,48,66,49
685,Slurpuff,fairy,,82,80,86,72
686,Inkay,dark,psychic,53,54,53,45
687,Malamar,dark,psychic,86,92,88,73
688,Binacle,rock,water,42,52,67,50
689,Barbaracle,rock,water,72,105,115,68
690,Skrelp,poison,water,50,60,60,30
691,Dragalge,poison,dragon,65,75,90,44
692,Clauncher,water,,50,53,62,44
693,Clawitzer,water,,71,73,88,59
694,Helioptile,electric,normal,44,38,33,70
695,Heliolisk,electric,normal,62,55,52,109
696,Tyrunt,rock,dragon,58,89,77,48
697,Tyrantrum,rock,dragon,82,121,119,71
698,Amaura,rock,ice,77,59,50,46
699,Aurorus,rock,ice,123,77,72,58
700,Sylveon,fairy,,95,65,65,60
701,Hawlucha,fighting,flying,78,92,75,118
702,Dedenne,electric,fairy,67,58,57,101
703,Carbink,rock,fairy,50,50,150,50
704,Goomy,dragon,,45,50,35,40
705,Sliggoo,dragon,,68,75,53,60
706,Goodra,dragon,,90,100,70,80
707,Klefki,steel,fairy,57,80,91,75
708,Phantump,ghost,grass,43,70,48,38
709,Trevenant,ghost,grass,85,110,76,56
710,Pumpkaboo,ghost,grass,59,66,70,41
711,Gourgeist,ghost,grass,85,100,122,54
712,Bergmite,ice,,55,69,85,28
713,Avalugg,ice,,95,117,184,28
714,Noibat,flying,dragon,40,30,35,55
715,Noivern,flying,dragon,85,70,80,123
716,Xerneas,fairy,,126,131,95,99
717,Yveltal,dark,flying,126,131,95,99
718,Zygarde,dragon,ground,216,100,121,85
719,Diancie,rock,fairy,50,160,110,110
720,Hoopa,psychic,ghost,80,160,60,80
721,Volcanion,fire,water,80,110,120,70
722,Rowlet,grass,flying,68,55,55,42
723,Dartrix,grass,flying,78,75,75,52
724,Decidueye,grass,ghost,78,107,75,70
725,Litten,fire,,45,65,40,70
726,Torracat,fire,,65,85,50,90
727,Incineroar,fire,dark,95,115,90,60
728,Popplio,water,,50,54,54,40
729,Brionne,water,,60,69,69,50
730,Primarina,water,fairy,80,74,74,60
731,Pikipek,normal,flying,35,75,30,65
732,Trumbeak,normal,flying,55,85,50,75
733,Toucannon,normal,flying,80,120,75,60
734,Yungoos,normal,,48,70,30,45
735,Gumshoos,normal,,88,110,60,45
736,Grubbin,bug,,47,62,45,46
737,Charjabug,bug,electric,57,82,95,36
738,Vikavolt,bug,electric,77,70,90,43
739,Crabrawler,fighting,,47,82,57,63
740,Crabominable,fighting,ice,97,132,77,43
741,Oricorio,fire,flying,75,70,70,93
742,Cutiefly,bug,fairy,40,45,40,84
743,Ribombee,bug,fairy,60,55,60,124
744,Rockruff,rock,,45,65,40,60
745,Lycanroc,rock,,85,115,75,82
746,Wishiwashi,water,,45,140,130,30
747,Mareanie,poison,water,50,53,62,45
748,Toxapex,poison,water,50,63,152,35
749,Mudbray,ground,,70,100,70,45
750,Mudsdale,ground,,100,125,100,35
751,Dewpider,water,bug,38,40,52,27
752,Araquanid,water,bug,68,70,92,42
753,Fomantis,grass,,40,55,35,35
754,Lurantis,grass,,70,105,90,45
755,Morelull,grass,fairy,40,35,55,15
756,Shiinotic,grass,fairy,60,45,80,30
757,Salandit,poison,fire,48,44,40,77
758,Salazzle,poison,fire,68,64,60,117
759,Stufful,normal,fighting,70,75,50,50
760,Bewear,normal,fighting,120,125,80,60
761,Bounsweet,grass,,42,30,38,32
762,Steenee,grass,,52,40,48,62
763,Tsareena,grass,,72,120,98,72
764,Comfey,fairy,,51,52,90,100
765,Oranguru,normal,psychic,90,60,80,60
766,Passimian,fighting,,100,120,90,80
767,Wimpod,bug,water,25,35,40,80
768,Golisopod,bug,water,75,125,140,40
769,Sandygast,ghost,ground,55,55,80,15
770,Palossand,ghost,ground,85,75,110,35
771,Pyukumuku,water,,55,60,130,5
772,Type: Null,normal,,95,95,95,59
773,Silvally,normal,,95,95,95,95
774,Minior,rock,flying,60,100,60,120
775,Komala,normal,,65,115,65,65
776,Turtonator,fire,dragon,60,78,135,36
777,Togedemaru,electric,steel,65,98,63,96
778,Mimikyu,ghost,fairy,55,90,80,96
779,Bruxish,water,psychic,68,105,70,92
780,Drampa,normal,dragon,78,60,85,36
781,Dhelmise,ghost,grass,70,131,100,40
782,Jangmo-o,dragon,,45,55,65,45
783,Hakamo-o,dragon,fighting,55,75,90,65
784,Kommo-o,dragon,fighting,75,110,125,85
785,Tapu Koko,electric,fairy,70,115,85,130
786,Tapu Lele,psychic,fairy,70,85,75,95
787,Tapu Bulu,grass,fairy,70,130,115,75
788,Tapu Fini,water,fairy,70,75,115,85
789,Cosmog,psychic,,43,29,31,37
790,Cosmoem,psychic,,43,29,131,37
791,Solgaleo,psychic,steel,137,137,107,97
792,Lunala,psychic,ghost,137,113,89,97
793,Nihilego,rock,poison,109,53,47,103
794,Buzzwole,bug,fighting,107,139,139,79
795,Pheromosa,bug,fighting,71,137,37,151
796,Xurkitree,electric,,83,89,71,83
797,Celesteela,steel,flying,97,101,103,61
798,Kartana,grass,steel,59,181,131,109
799,Guzzlord,dark,dragon,223,101,53,43
800,Necrozma,psychic,,97,107,101,79
801,Magearna,steel,fairy,80,95,115,65
